Year,Precip
1906,726.3000000000001
1907,661.6
1908,644.0
1909,832.7
1910,814.4000000000001
1911,640.0
1912,1027.0
1913,719.1
1914,786.3000000000001
1915,893.2
1916,890.6
1917,786.1
1918,884.2
1919,746.6
1920,646.5
1921,387.3
1922,652.9000000000001
1923,837.2
1924,780.4000000000001
1925,899.9000000000001
1926,708.1
1927,874.8000000000001
1928,814.3000000000001
1929,630.4000000000001
1930,911.1
1931,770.5
1932,744.0
1933,510.90000000000003
1934,716.8000000000001
1935,915.0
1936,746.2
1937,727.0
1938,783.3000000000001
1939,838.5
1940,820.4000000000001
1941,744.0
1942,781.5
1943,668.7
1944,808.0
1945,723.8000000000001
1946,822.4000000000001
1947,748.0
1948,740.1
1949,662.6
1950,951.6
1951,808.9000000000001
1952,802.1
1953,597.4000000000001
1954,817.9000000000001
1955,663.0
1956,748.4000000000001
1957,927.7
1958,827.7
1959,535.8000000000001
1960,928.7
1961,925.4000000000001
1962,749.9000000000001
1963,776.7
1964,760.1
1965,1151.9
1966,1148.0
1967,853.1
1968,857.5000000000001
1969,746.7
1970,908.5000000000001
1971,561.8000000000001
1972,656.4000000000001
1973,779.8000000000001
1974,992.7
1975,635.0
1976,536.3000000000001
1977,813.0
1978,643.6
1979,873.1
1980,861.8000000000001
1981,993.0
1982,600.7
1983,827.9000000000001
1984,819.3000000000001
1985,700.5
1986,716.1
1987,926.5
1988,884.5
1989,661.3000000000001
1990,714.7
1991,648.0
1992,917.8000000000001
1993,879.6
1994,1025.2
1995,729.5
1996,575.7
1997,743.5
1998,1239.6000000000001
1999,901.5
2000,932.4000000000001
2001,1038.9
2002,924.0
2003,612.7
2004,859.4000000000001
2005,872.9000000000001
2006,807.1
2007,951.1
2008,880.5000000000001
2009,776.9000000000001
2010,825.3000000000001
2011,909.0
2012,878.3000000000001
2013,827.2
2014,872.9000000000001
2015,853.3000000000001
2016,838.0
2017,947.5
2018,582.0
2019,934.2
2020,855.9000000000001
2021,861.3000000000001
2022,820.9000000000001
2023,1179.6000000000001
